length, selection, insertion, merge
10,45,21,23
25,300,180,85
40,780,396,166
55,1485,737,249
70,2415,1289,349
85,3570,1953,428
100,4950,2699,549
115,6555,3146,651
130,8385,4685,749
145,10440,4858,857
160,12720,6973,967
175,15225,7369,1096
190,17955,9720,1203
205,20910,10329,1319
220,24090,13840,1444
235,27495,13034,1560
250,31125,16828,1679
265,34980,17602,1814
280,39060,18611,1926
295,43365,22483,2065
310,47895,24214,2182
325,52650,26130,2315
340,57630,29246,2450
355,62835,30508,2585
370,68265,35381,2695
385,73920,36906,2819
400,79800,39735,2987
415,85905,43087,3095
430,92235,48683,3218
445,98790,51793,3357
460,105570,54564,3486
475,112575,56653,3640
490,119805,59701,3773
505,127260,63442,3904
520,134940,66884,4032
535,142845,73680,4160
550,150975,80193,4318
565,159330,81901,4475
580,167910,84405,4573
595,176715,90507,4764
610,185745,88586,4875
625,195000,102373,5042
640,204480,102782,5150
655,214185,106857,5304
670,224115,108262,5428
685,234270,117883,5609
700,244650,121923,5749
715,255255,131643,5906
730,266085,132437,6040
745,277140,139334,6148
760,288420,142564,6333
775,299925,152265,6484
790,311655,149765,6602
805,323610,163603,6781
820,335790,167676,6916
835,348195,175912,7064
850,360825,181060,7225
865,373680,192805,7360
880,386760,197069,7520
895,400065,206148,7688
910,413595,210055,7807
925,427350,216164,7949
940,441330,221255,8127
955,455535,228174,8271
970,469965,217732,8396
985,484620,246318,8559
1000,499500,247841,8682
1015,514605,261495,8826
1030,529935,266791,9016
1045,545490,263817,9194
1060,561270,285113,9346
1075,577275,277106,9480
1090,593505,298685,9614
1105,609960,306040,9810
1120,626640,319668,9942
1135,643545,318158,10078
1150,660675,322246,10251
1165,678030,339263,10400
1180,695610,343582,10523
1195,713415,365044,10709
1210,731445,359585,10907
1225,749700,382840,11077
1240,768180,376328,11192
